CodigoCUPS,DescripcionCUPS,Grupo,Ruta
990104,EDUCACION GRUPAL EN SALUD. POR ENFERMERIA(10995),PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA
990201,EDUCACION INDIVIDUAL EN SALUD, POR MEDICINA GENERAL(11123),PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA
990203,EDUCACION INDIVIDUAL EN SALUD, POR ODONTOLOGIA(11127),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
990204,EDUCACION INDIVIDUAL EN SALUD, POR ENFERMERIA(11129),PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA
990213,EDUCACION INDIVIDUAL EN SALUD, POR EQUIPO INTERDISCIPLINARIO(11145),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
993101,VACUNACION CONTRA COLERA(30043),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
993102,VACUNACION CONTRA TUBERCULOSIS (BCG)(11176),PROMOCION Y MANTENIMIENTO DE LA SALUD,MATERNO PERINATAL
993103,VACUNACION CONTRA MENINGOCOCO (AC O BC)(24869),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
993104,VACUNACION CONTRA HAEMOPHILUS INFLUENZA TIPO B +(11179),PROMOCION Y MANTENIMIENTO DE LA SALUD,CARDIOMETABOLICAS
993105,ADMINISTRACION DE TOXOIDE DIFTERICO(11180),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
993107,ADMINISTRACION DE TOXOIDE DE TETANOS(11184),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
993120,VACUNACION COMBINADA CONTRA TETANOS Y DIFTERIA (TD) +(11185),PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA
993122,VACUNACION COMBINADA CONTRA DIFTERIA.TETANOS Y TOS FERINA (DPT)(11186),PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA
993124,VACUNACION COMBINADA CONTRA DIFTERIA, TETANOS, TOS FERINA Y HEPATITIS B (TETRAVALENTE)(30046),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
993501,VACUNACION CONTRA POLIOMIELITIS (VOP O IVP)(11188),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
993502,VACUNACION CONTRA HEPATITIS A(11190),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
993504,VACUNACION CONTRA FIEBRE AMARILLA(11192),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
993505,VACUNACION CONTRA RABIA(11193),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
993506,VACUNACION CONTRA SARAMPION(11195),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
993507,VACUNACION CONTRA PAROTIDITIS(11197),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
993508,VACUNACION CONTRA RUBEOLA(11199),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
993509,VACUNACION CONTRA VARICELA(11201),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
993510,VACUNACION CONTRA INFLUENZA(11203),PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA
993512,VACUNACION CONTRA ROTAVIRUS(11205),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
993513,VACUNACION CONTRA VIRUS PAPILOMA HUMANO [VPH](42115),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
993522,VACUNACION COMBINADA CONTRA SARAMPION. PAROTIDITIS Y RUBEOLA (SRP) (TRIPLE VIRAL) +(11206),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
995201,OTRA VACUNACIËN DEL PROGRAMA AMPLIADO DE INMUNIZACIONES(43099),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
997002,CONTROL DE PLACA DENTAL(69727),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
997103,TOPICACION DE FLUOR EN GEL(11225),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
997104,TOPICACION DE FLUOR EN SOLUCION(11226),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
997105,APLICACION DE RESINA PREVENTIVA(11227),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
997106,TOPICACION DE FLUOR EN BARNIZ(30198),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
997107,APLICACION DE SELLANTES(69728),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
997301,DETARTRAJE SUPRAGINGIVAL(30199),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
